42	150095	泰信基本面400B	档案吧历史净值	1.4160	4.2900	1.3730	4.1600	0.0430	3.13%	1.5110	-6.71%	---
43	165520	信诚中证800有色指数分级	档案吧历史净值	1.0300	1.5730	0.9990	1.5420	0.0310	3.10%	---	---	0.60%
44	161029	富国中证银行指数分级	档案吧历史净值	1.0380	1.0380	1.0070	1.0070	0.0310	3.08%	---	---	0.60%
45	161720	招商中证全指证券公司指数分级	档案吧历史净值	1.2820	1.2820	1.2440	1.2440	0.0380	3.05%	---	---	0.60%
46	165521	信诚中证800金融指数分级	档案吧历史净值	1.2860	1.8910	1.2480	1.8530	0.0380	3.04%	---	---	0.60%
47	161027	富国中证全指证券公司指数分级	档案吧历史净值	1.0860	1.0860	1.0540	1.0540	0.0320	3.04%	---	---	0.60%
48	160631	鹏华银行分级	档案吧历史净值	0.9890	0.9890	0.9600	0.9600	0.0290	3.02%	---	---	0.60%
49	502048	易方达上证50指数分级	档案吧历史净值	1.0048	1.0048	0.9761	0.9761	0.0287	2.94%	1.0030	0.18%	0.60%
50	160633	鹏华证券分级	档案吧历史净值	1.0200	1.0200	0.9910	0.9910	0.0290	2.93%	---	---	0.60%
51	150139	银华800B	档案吧历史净值	1.8680	2.8890	1.8150	2.8360	0.0530	2.92%	1.8600	0.43%	---
52	550016	信诚添金分级债券岁岁添金	档案吧历史净值	1.6340	1.9240	1.5880	1.8780	0.0460	2.90%	---	---	---
53	150009	国投瑞银瑞和远见	档案吧历史净值	2.3810	1.7170	2.3140	1.6690	0.0670	2.90%	2.2030	7.48%	---
54	150206	鹏华中证国防指数分级B	档案吧历史净值	1.3530	2.3710	1.3150	2.3340	0.0380	2.89%	1.4770	-9.16%	---
55	160221	国泰国证有色金属行业指数分级	档案吧历史净值	1.0889	1.0889	1.0584	1.0584	0.0305	2.88%	---	---	0费率
56	160218	国泰国证房地产行业指数分级	档案吧历史净值	1.0856	2.1699	1.0552	2.1395	0.0304	2.88%	---	---	0.60%
57	150122	银河沪深300成长进取	档案吧历史净值	2.1520	2.1520	2.0920	2.0920	0.0600	2.87%	2.1170	1.63%	---
